cpu_temp, gpu_temp, mem_usage, cpu_usage, gpu_usage
64.962025, 49.700000, 34.311251, 27.800000, 0.000000
68.000000, 49.000000, 30.858638, 28.200000, 0.000000
66.816901, 46.800000, 34.154426, 28.564705, 0.200000
65.270588, 46.000000, 34.568446, 29.019230, 0.000000
64.585714, 45.941176, 33.920083, 29.365217, 0.000000
65.461538, 44.833333, 31.196758, 29.658333, 0.571428
64.617283, 45.916666, 34.833874, 29.848000, 0.000000
64.863636, 46.000000, 34.664435, 30.210344, 0.000000
64.800000, 45.875000, 35.299988, 30.579166, 0.000000
65.000000, 45.500000, 28.547550, 30.777777, 0.666666
64.613636, 46.300000, 35.088539, 30.892000, 0.090909
64.439393, 46.000000, 35.298842, 31.082352, 0.200000
66.000000, 46.750000, 32.079710, 31.240000, 0.600000
65.386138, 46.809523, 34.652166, 31.403703, 0.050000
65.229166, 45.774193, 34.732317, 31.618518, 0.000000
64.506849, 46.066666, 35.359408, 31.763636, 0.000000
66.000000, 46.833333, 30.543600, 31.900000, 0.166666
65.552083, 45.888888, 35.059721, 32.028125, 0.000000
64.584415, 46.000000, 35.723111, 32.178260, 0.000000
65.533333, 46.000000, 31.388940, 32.300000, 0.500000
65.938596, 46.880000, 35.042393, 32.456250, 0.041666
64.655913, 46.400000, 35.409350, 32.581481, 0.058823
65.000000, 46.000000, 27.006340, 32.600000, 0.500000
65.948979, 47.000000, 34.617142, 32.762962, 0.000000
65.850467, 47.000000, 35.240041, 32.903225, 0.100000
64.366197, 46.777777, 35.680865, 32.985000, 0.000000
66.000000, 46.000000, 29.771033, 33.100000, 0.500000
65.450549, 46.904761, 35.129434, 33.146153, 0.052631
64.516129, 46.500000, 35.315276, 33.205263, 0.050000
66.000000, 46.666666, 29.876200, 33.300000, 0.333333
65.536082, 46.250000, 34.344331, 33.360000, 0.000000
66.000000, 47.000000, 35.107308, 33.491666, 0.000000
66.000000, 47.000000, 34.176218, 33.600000, 0.000000
66.000000, 46.750000, 31.882078, 33.700000, 0.000000
66.000000, 46.027777, 34.648832, 33.789285, 0.000000
66.000000, 46.961538, 34.473592, 33.890000, 0.000000
66.000000, 47.000000, 30.585433, 33.925000, 0.000000
66.460674, 47.000000, 34.944050, 34.000000, 0.000000
66.542857, 47.000000, 34.542725, 34.100000, 0.000000
66.602941, 47.277777, 33.668360, 34.173913, 0.055555
66.851063, 47.090909, 35.462277, 34.251724, 0.000000
66.463414, 47.000000, 33.617100, 34.300000, 0.000000
66.517857, 47.200000, 33.323880, 34.368421, 0.000000
66.580000, 47.111111, 34.334121, 34.400000, 0.105263
66.911111, 47.043478, 35.111077, 34.500000, 0.000000
66.798076, 47.166666, 35.054251, 34.584848, 0.045454
65.650000, 47.000000, 34.064587, 34.600000, 1.000000
66.547945, 47.000000, 34.844604, 34.700000, 0.000000
66.872093, 47.444444, 34.734425, 34.700000, 0.000000
66.611111, 47.000000, 35.555943, 34.796296, 0.181818
65.000000, 46.000000, 26.533625, 34.800000, 0.500000
65.858823, 47.000000, 35.304908, 34.808333, 0.307692
65.377358, 46.909090, 35.439530, 34.889285, 0.090909
65.625000, 46.862068, 35.421613, 34.900000, 0.035714
65.505747, 47.000000, 34.985456, 34.936000, 0.000000
66.494623, 46.928571, 35.387337, 35.000000, 0.115384
65.376470, 47.000000, 35.978728, 35.000000, 0.000000
66.000000, 47.000000, 30.654488, 35.080000, 0.666666
66.287128, 47.000000, 35.656782, 35.100000, 0.000000
65.554455, 46.850000, 35.331251, 35.100000, 0.000000
66.081081, 47.058823, 35.333602, 35.190909, 0.000000
66.108695, 47.142857, 35.320731, 35.200000, 0.050000
65.257731, 46.777777, 35.891723, 35.200000, 0.000000
65.150537, 46.842105, 35.551632, 35.200000, 0.052631
63.375000, 46.500000, 32.680975, 35.200000, 0.000000
65.692307, 47.000000, 35.514963, 35.200000, 0.000000
65.604651, 46.950000, 35.591748, 35.284000, 0.047619
65.435294, 46.411764, 35.422144, 35.296296, 0.030303
64.573033, 46.411764, 35.965380, 35.292000, 0.058823
66.000000, 46.750000, 34.175108, 35.300000, 0.500000
66.000000, 46.500000, 33.103550, 35.314285, 0.000000
65.291666, 46.733333, 35.303050, 35.379310, 0.000000
65.839080, 46.947368, 35.745534, 35.400000, 0.250000
65.940476, 47.000000, 36.133557, 35.400000, 0.000000
66.000000, 46.000000, 27.351660, 35.400000, 0.000000
65.941860, 46.787878, 35.626833, 35.400000, 0.060606
65.414141, 47.000000, 36.141544, 35.426923, 0.090909
66.000000, 46.000000, 27.702100, 35.500000, 2.000000
65.819148, 47.000000, 35.689407, 35.500000, 0.000000
66.000000, 46.909090, 35.259871, 35.500000, 0.083333
65.883495, 46.088235, 35.420624, 35.506250, 0.000000
65.603960, 46.812500, 35.499223, 35.596551, 0.055555
65.967391, 47.000000, 35.527638, 35.600000, 0.142857
66.392857, 47.000000, 35.929369, 35.600000, 0.000000
65.466666, 47.000000, 27.404000, 35.600000, 0.750000
66.438202, 47.157894, 36.463769, 35.691666, 0.052631
65.395833, 47.173913, 35.322041, 35.693548, 0.000000
65.954545, 47.000000, 35.709719, 35.695833, 0.000000
65.333333, 46.000000, 27.686480, 35.700000, 0.500000
66.444444, 47.105263, 36.199462, 35.700000, 0.047619
66.343750, 47.000000, 36.005614, 35.700000, 0.000000
66.724137, 47.000000, 31.470775, 35.700000, 0.000000
66.032967, 47.000000, 35.901866, 35.796296, 0.076923
66.000000, 47.176470, 35.327711, 35.800000, 0.000000
66.025000, 45.000000, 33.475516, 35.800000, 0.050000
65.532110, 46.000000, 36.050446, 35.800000, 0.125000
65.549019, 46.000000, 36.046563, 35.800000, 0.111111
64.905405, 46.619047, 34.929507, 35.800000, 0.000000
65.743243, 47.000000, 34.491769, 35.800000, 0.000000
66.298507, 47.333333, 33.337718, 35.800000, 0.052631
