cpu_temp, gpu_temp, mem_usage, cpu_usage, gpu_usage
66.003531, 48.500378, 23.369205, 33.041684, 0.235796
66.820677, 47.962329, 25.880202, 33.410659, 0.099239
66.888761, 47.512258, 26.491405, 33.805638, 0.055501
66.812089, 47.348733, 26.045657, 34.142586, 0.108636
66.774045, 47.187005, 25.687519, 34.416215, 0.138091
66.705171, 47.024813, 26.402753, 34.675972, 0.044029
66.540882, 47.048560, 26.824418, 34.903567, 0.049011
66.297628, 47.090574, 26.464750, 35.077333, 0.123439
66.565522, 47.068199, 27.360133, 35.233522, 0.037161
66.375569, 47.297430, 26.769024, 35.363631, 0.033699
66.475502, 47.550429, 28.041123, 35.475686, 0.006242
66.526601, 47.699214, 27.316534, 35.575941, 0.040450
66.333170, 47.769019, 27.146538, 35.659460, 0.066168
66.706837, 47.858913, 27.061723, 35.750329, 0.010902
66.537116, 47.698361, 27.613167, 35.829718, 0.064328
66.604355, 47.554996, 27.400085, 35.911710, 0.060039
66.673099, 47.729614, 27.662172, 35.986067, 0.057484
66.767164, 47.565725, 26.068613, 36.058956, 0.103506
66.488239, 47.722994, 27.493716, 36.119417, 0.059959
66.786938, 47.876772, 26.184932, 36.173525, 0.127164
66.689590, 47.813977, 27.837939, 36.224296, 0.139183
66.589416, 47.508119, 27.249500, 36.277982, 0.179520
66.533377, 47.401796, 28.030860, 36.314721, 0.028388
66.394985, 47.503940, 27.787639, 36.368213, 0.039969
66.521100, 47.562156, 26.191391, 36.394258, 0.123135
66.550919, 47.723288, 27.648113, 36.426859, 0.015610
66.586845, 47.852053, 27.639236, 36.467533, 0.076008
66.614488, 47.916206, 27.099349, 36.491607, 0.068066
66.666208, 47.894673, 26.739340, 36.522732, 0.119241
66.678875, 47.918509, 27.457565, 36.556100, 0.063428
66.745330, 47.792068, 27.016490, 36.582683, 0.050802
66.539432, 47.696489, 27.051184, 36.610697, 0.108289
66.629130, 47.670149, 27.231293, 36.648620, 0.059621
66.713528, 47.653975, 27.577565, 36.671070, 0.023302
66.500907, 47.656330, 26.586988, 36.701754, 0.072739
66.729117, 47.718304, 27.634719, 36.735249, 0.031055
66.700198, 47.786830, 26.353041, 36.764806, 0.094799
66.783917, 47.531835, 27.807841, 36.791340, 0.030109
66.510157, 47.454970, 27.074506, 36.821361, 0.105362
66.711137, 47.368479, 27.344079, 36.855014, 0.089524
66.602251, 47.191246, 27.100074, 36.882237, 0.068238
66.554698, 47.149401, 26.924113, 36.896801, 0.161997
66.641878, 47.534723, 26.956427, 36.922904, 0.094166
66.741497, 47.628899, 26.957046, 36.944600, 0.146936
66.784284, 47.712176, 27.764191, 36.964425, 0.030386
66.676697, 47.667570, 27.514214, 36.978636, 0.080551
66.719564, 47.779738, 27.484569, 36.994758, 0.130306
66.730574, 47.890644, 27.120477, 37.008295, 0.106823
66.544657, 47.676120, 26.885426, 37.023758, 0.106043
66.497861, 47.622597, 26.427546, 37.039874, 0.131400
66.540790, 47.430925, 27.889955, 37.053732, 0.047570
66.636019, 47.564868, 27.347631, 37.067693, 0.088450
66.670492, 47.477072, 28.266510, 37.078623, 0.015314
66.603378, 47.629560, 26.841208, 37.087656, 0.117317
66.708517, 47.435267, 27.960487, 37.100433, 0.023144
66.608629, 47.283061, 26.829190, 37.111068, 0.053742
66.666787, 47.639447, 28.336465, 37.124961, 0.055684
66.780775, 47.676386, 27.462585, 37.130895, 0.075954
66.869526, 47.741333, 27.088847, 37.141065, 0.135657
66.925908, 47.796408, 27.890932, 37.155584, 0.039518
